링크,답
C:/Users/김효진/PycharmProjects/개인프로젝트/image/1.PNG,유희열
C:/Users/김효진/PycharmProjects/개인프로젝트/image/2.PNG,트럼프
C:/Users/김효진/PycharmProjects/개인프로젝트/image/3.PNG,강다니엘
C:/Users/김효진/PycharmProjects/개인프로젝트/image/4.PNG,엘사
C:/Users/김효진/PycharmProjects/개인프로젝트/image/5.PNG,유노윤호
C:/Users/김효진/PycharmProjects/개인프로젝트/image/6.PNG,규현
C:/Users/김효진/PycharmProjects/개인프로젝트/image/7.PNG,스티브잡스
C:/Users/김효진/PycharmProjects/개인프로젝트/image/8.PNG,강호동
C:/Users/김효진/PycharmProjects/개인프로젝트/image/9.PNG,이수근
C:/Users/김효진/PycharmProjects/개인프로젝트/image/10.PNG,둘리
C:/Users/김효진/PycharmProjects/개인프로젝트/image/11.PNG,스티븐스필버그
C:/Users/김효진/PycharmProjects/개인프로젝트/image/12.PNG,정해인
C:/Users/김효진/PycharmProjects/개인프로젝트/image/13.PNG,앵그리버드
C:/Users/김효진/PycharmProjects/개인프로젝트/image/14.PNG,스누피
C:/Users/김효진/PycharmProjects/개인프로젝트/image/15.PNG,오혁
C:/Users/김효진/PycharmProjects/개인프로젝트/image/16.PNG,베토벤
C:/Users/김효진/PycharmProjects/개인프로젝트/image/17.PNG,송민호
C:/Users/김효진/PycharmProjects/개인프로젝트/image/18.PNG,피오
C:/Users/김효진/PycharmProjects/개인프로젝트/image/19.PNG,세일러문
C:/Users/김효진/PycharmProjects/개인프로젝트/image/20.PNG,방탄소년단
